EmployeeID,Age,Gender,Department,JobRole,YearsAtCompany,EducationLevel,Attrition,MonthlyIncome,PerformanceRating,OverTime
EMP0001,29,Male,Human Resources,Laboratory Technician,1,3,No,144060,4,No
EMP0002,23,Female,Research & Development,HR Manager,8,1,No,82336,4,No
EMP0003,39,Male,Sales,Laboratory Technician,3,2,Yes,128164,4,Yes
EMP0004,37,Male,Human Resources,Sales Representative,1,5,No,70736,2,No
EMP0005,36,Female,Human Resources,Research Scientist,2,5,Yes,131590,3,Yes
EMP0006,30,Male,Research & Development,Research Scientist,14,3,No,127695,5,Yes
EMP0007,28,Female,Research & Development,HR Manager,11,2,Yes,45565,2,No
EMP0008,56,Female,Human Resources,Laboratory Technician,0,4,Yes,108091,2,Yes
EMP0009,27,Female,Research & Development,Laboratory Technician,5,4,No,87061,5,Yes
EMP0010,59,Male,Research & Development,Laboratory Technician,10,1,No,124925,4,Yes
EMP0011,49,Female,Sales,Research Scientist,3,3,No,46947,5,No
EMP0012,24,Male,Human Resources,HR Manager,14,3,No,58535,4,No
EMP0013,23,Male,Human Resources,Laboratory Technician,12,2,Yes,68822,5,Yes
EMP0014,27,Male,Sales,HR Manager,4,2,Yes,116311,1,Yes
EMP0015,35,Female,Research & Development,Sales Executive,6,3,Yes,53631,4,Yes
EMP0016,36,Female,Human Resources,Sales Representative,6,1,No,44652,1,No
EMP0017,54,Male,Research & Development,Sales Representative,8,1,No,110021,3,Yes
EMP0018,60,Male,Sales,Sales Representative,15,4,No,48469,5,Yes
EMP0019,23,Male,Research & Development,Laboratory Technician,14,1,Yes,123698,5,Yes
EMP0020,57,Male,Research & Development,Sales Representative,9,3,Yes,87162,4,Yes
EMP0021,34,Male,Human Resources,Laboratory Technician,7,4,No,135993,5,Yes
EMP0022,56,Female,Sales,Sales Representative,6,2,No,48983,2,Yes
EMP0023,48,Female,Sales,Research Scientist,5,4,No,53467,2,No
EMP0024,36,Male,Human Resources,Laboratory Technician,13,4,No,39843,1,No
EMP0025,50,Female,Sales,Laboratory Technician,6,5,Yes,55337,3,No
EMP0026,59,Female,Research & Development,HR Manager,2,2,No,53989,3,Yes
EMP0027,39,Female,Human Resources,Sales Representative,0,5,No,32242,2,No
EMP0028,22,Female,Sales,Research Scientist,3,4,Yes,70060,3,Yes
EMP0029,32,Male,Research & Development,Research Scientist,6,3,Yes,120462,1,Yes
EMP0030,49,Male,Human Resources,HR Manager,1,1,No,38383,3,No
EMP0031,43,Female,Research & Development,Sales Executive,4,3,Yes,35960,1,Yes
EMP0032,39,Male,Sales,Sales Representative,0,4,No,67266,5,Yes
EMP0033,31,Female,Human Resources,Sales Executive,11,3,Yes,51377,5,No
EMP0034,35,Male,Human Resources,Research Scientist,13,2,No,110181,2,Yes
EMP0035,43,Male,Research & Development,Laboratory Technician,2,5,Yes,63152,4,Yes
EMP0036,28,Male,Research & Development,HR Manager,10,4,No,99716,2,No
EMP0037,27,Male,Sales,Research Scientist,5,3,Yes,58437,5,No
EMP0038,46,Female,Human Resources,Sales Representative,15,2,Yes,134312,4,No
EMP0039,28,Male,Research & Development,HR Manager,6,5,No,44780,1,Yes
EMP0040,44,Female,Human Resources,Sales Executive,6,2,Yes,66884,3,Yes
EMP0041,44,Female,Sales,Laboratory Technician,15,3,No,126041,5,No
EMP0042,60,Male,Sales,HR Manager,11,1,Yes,93648,4,Yes
EMP0043,38,Female,Sales,HR Manager,11,1,No,96988,4,No
EMP0044,24,Female,Sales,Research Scientist,4,1,No,145340,3,No
EMP0045,51,Female,Sales,Laboratory Technician,2,3,No,104495,1,Yes
EMP0046,56,Female,Human Resources,Laboratory Technician,14,5,No,131251,3,Yes
EMP0047,29,Male,Human Resources,Laboratory Technician,13,4,No,142967,2,Yes
EMP0048,46,Male,Sales,Laboratory Technician,12,3,Yes,121752,3,No
EMP0049,27,Female,Research & Development,Laboratory Technician,2,2,Yes,143487,4,No
EMP0050,57,Female,Research & Development,Research Scientist,2,3,Yes,44669,4,Yes
EMP0051,40,Female,Sales,Laboratory Technician,4,4,Yes,41802,1,Yes
EMP0052,45,Female,Human Resources,Research Scientist,9,5,No,91742,4,Yes
EMP0053,58,Female,Human Resources,Research Scientist,3,1,Yes,143075,5,Yes
EMP0054,34,Female,Research & Development,Laboratory Technician,3,4,No,110608,5,Yes
EMP0055,26,Male,Research & Development,Sales Executive,15,3,No,88525,4,Yes
EMP0056,24,Male,Human Resources,Sales Representative,7,4,No,50109,4,No
EMP0057,36,Female,Research & Development,Laboratory Technician,1,2,No,138184,3,Yes
EMP0058,40,Female,Sales,Sales Representative,10,3,Yes,129660,3,Yes
EMP0059,27,Male,Sales,Research Scientist,0,5,No,83248,3,No
EMP0060,36,Female,Research & Development,Sales Executive,7,1,No,107087,2,Yes
EMP0061,28,Male,Sales,Research Scientist,9,3,No,109876,4,Yes
EMP0062,46,Female,Research & Development,Sales Executive,8,3,Yes,107864,1,Yes
EMP0063,39,Male,Human Resources,Research Scientist,12,5,Yes,110342,5,Yes
EMP0064,51,Female,Sales,HR Manager,11,5,No,66396,1,Yes
EMP0065,45,Female,Research & Development,HR Manager,2,1,No,105414,2,No
EMP0066,32,Female,Sales,HR Manager,5,5,Yes,120525,5,No
EMP0067,45,Female,Sales,Sales Executive,9,1,Yes,99054,3,Yes
EMP0068,44,Female,Human Resources,Research Scientist,2,2,Yes,42653,2,Yes
EMP0069,35,Male,Human Resources,Sales Representative,7,4,No,115418,2,Yes
EMP0070,39,Female,Human Resources,Sales Executive,9,1,No,51087,4,Yes
EMP0071,26,Female,Research & Development,Sales Executive,12,1,Yes,97330,2,Yes
EMP0072,60,Male,Human Resources,Sales Executive,1,2,Yes,121528,4,Yes
EMP0073,32,Male,Human Resources,Research Scientist,3,2,Yes,56104,2,Yes
EMP0074,56,Male,Sales,Sales Executive,15,1,No,44535,4,No
EMP0075,37,Female,Human Resources,HR Manager,8,5,No,126384,2,No
EMP0076,32,Male,Human Resources,Sales Representative,0,2,Yes,102030,2,Yes
EMP0077,51,Male,Sales,Research Scientist,1,2,No,32608,1,Yes
EMP0078,46,Male,Sales,Sales Representative,10,1,Yes,37472,2,Yes
EMP0079,39,Female,Sales,Research Scientist,13,3,No,58749,2,Yes
