MatchID,Date,Season,Venue,Team1,Team2,Winner,Margin,MarginType,PlayerOfMatch,RunsTeam1,RunsTeam2,WicketsTeam1,WicketsTeam2
MATCH0001,2016-02-16,2016,Hyderabad,Chennai Super Kings,Rajasthan Royals,Royal Challengers Bangalore,23,wickets,Player_70,196,163,9,3
MATCH0002,2022-03-15,2022,Hyderabad,Delhi Capitals,Delhi Capitals,Punjab Kings,19,wickets,Player_88,245,187,6,4
MATCH0003,2018-08-30,2018,Mumbai,Chennai Super Kings,Sunrisers Hyderabad,Delhi Capitals,32,runs,Player_92,161,215,9,7
MATCH0004,2018-10-16,2018,Chennai,Royal Challengers Bangalore,Royal Challengers Bangalore,Kolkata Knight Riders,26,wickets,Player_86,164,225,2,4
MATCH0005,2008-08-26,2008,Jaipur,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,46,wickets,Player_86,196,164,4,6
MATCH0006,2010-01-15,2010,Kolkata,Mumbai Indians,Delhi Capitals,Mumbai Indians,38,wickets,Player_84,86,81,4,1
MATCH0007,2010-11-03,2010,Chennai,Delhi Capitals,Punjab Kings,Delhi Capitals,36,runs,Player_70,88,115,2,8
MATCH0008,2017-12-16,2017,Delhi,Punjab Kings,Kolkata Knight Riders,Royal Challengers Bangalore,2,runs,Player_64,143,187,5,3
MATCH0009,2016-06-23,2016,Hyderabad,Mumbai Indians,Kolkata Knight Riders,Sunrisers Hyderabad,35,runs,Player_39,135,238,4,4
MATCH0010,2019-10-06,2019,Bangalore,Sunrisers Hyderabad,Punjab Kings,Rajasthan Royals,36,wickets,Player_14,142,197,0,0
MATCH0011,2018-05-06,2018,Hyderabad,Mumbai Indians,Sunrisers Hyderabad,Royal Challengers Bangalore,49,runs,Player_82,109,164,0,4
MATCH0012,2022-01-14,2022,Delhi,Chennai Super Kings,Delhi Capitals,Kolkata Knight Riders,15,wickets,Player_98,123,210,6,7
MATCH0013,2012-01-26,2012,Pune,Royal Challengers Bangalore,Royal Challengers Bangalore,Mumbai Indians,28,runs,Player_53,144,104,1,3
MATCH0014,2016-05-17,2016,Bangalore,Sunrisers Hyderabad,Delhi Capitals,Kolkata Knight Riders,28,runs,Player_39,180,170,3,5
MATCH0015,2014-06-13,2014,Bangalore,Sunrisers Hyderabad,Mumbai Indians,Kolkata Knight Riders,32,wickets,Player_84,217,219,8,3
MATCH0016,2014-04-21,2014,Pune,Delhi Capitals,Mumbai Indians,Royal Challengers Bangalore,13,runs,Player_62,97,122,5,2
MATCH0017,2014-05-28,2014,Hyderabad,Punjab Kings,Chennai Super Kings,Chennai Super Kings,14,runs,Player_19,166,184,5,10
MATCH0018,2022-11-05,2022,Kolkata,Royal Challengers Bangalore,Delhi Capitals,Rajasthan Royals,8,wickets,Player_34,92,93,3,4
MATCH0019,2013-12-06,2013,Chennai,Rajasthan Royals,Punjab Kings,Rajasthan Royals,30,runs,Player_96,175,197,8,7
MATCH0020,2014-03-03,2014,Mumbai,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,16,runs,Player_38,96,197,0,5
MATCH0021,2021-04-06,2021,Hyderabad,Chennai Super Kings,Rajasthan Royals,Punjab Kings,10,wickets,Player_27,189,153,7,3
MATCH0022,2015-05-22,2015,Hyderabad,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,38,wickets,Player_37,135,155,5,0
MATCH0023,2020-09-05,2020,Mumbai,Sunrisers Hyderabad,Rajasthan Royals,Kolkata Knight Riders,44,runs,Player_40,183,142,0,6
MATCH0024,2010-01-14,2010,Jaipur,Royal Challengers Bangalore,Sunrisers Hyderabad,Delhi Capitals,39,runs,Player_27,120,235,8,0
MATCH0025,2022-04-08,2022,Jaipur,Chennai Super Kings,Delhi Capitals,Punjab Kings,34,runs,Player_34,121,109,0,3
MATCH0026,2021-10-27,2021,Mumbai,Sunrisers Hyderabad,Kolkata Knight Riders,Royal Challengers Bangalore,20,runs,Player_30,136,233,7,7
MATCH0027,2012-06-06,2012,Delhi,Mumbai Indians,Chennai Super Kings,Mumbai Indians,13,wickets,Player_2,239,217,7,4
MATCH0028,2020-10-20,2020,Jaipur,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,5,wickets,Player_12,238,99,9,1
MATCH0029,2010-02-25,2010,Chennai,Mumbai Indians,Kolkata Knight Riders,Rajasthan Royals,40,wickets,Player_40,173,132,8,7
MATCH0030,2023-02-17,2023,Pune,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,45,wickets,Player_40,222,236,8,4
MATCH0031,2023-03-30,2023,Mumbai,Punjab Kings,Delhi Capitals,Sunrisers Hyderabad,28,wickets,Player_64,202,131,8,9
MATCH0032,2018-05-07,2018,Pune,Mumbai Indians,Sunrisers Hyderabad,Kolkata Knight Riders,5,wickets,Player_41,236,153,6,5
MATCH0033,2010-03-05,2010,Kolkata,Royal Challengers Bangalore,Mumbai Indians,Sunrisers Hyderabad,34,runs,Player_33,241,126,3,5
MATCH0034,2023-06-19,2023,Mumbai,Punjab Kings,Mumbai Indians,Delhi Capitals,13,runs,Player_91,121,238,4,3
MATCH0035,2017-02-16,2017,Delhi,Sunrisers Hyderabad,Punjab Kings,Mumbai Indians,1,runs,Player_73,222,94,7,2
MATCH0036,2016-08-04,2016,Pune,Royal Challengers Bangalore,Mumbai Indians,Rajasthan Royals,4,wickets,Player_69,105,99,8,1
MATCH0037,2008-10-01,2008,Jaipur,Punjab Kings,Royal Challengers Bangalore,Punjab Kings,28,wickets,Player_64,144,161,8,8
MATCH0038,2013-06-23,2013,Delhi,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,40,wickets,Player_31,158,213,8,10
MATCH0039,2013-05-31,2013,Mumbai,Delhi Capitals,Kolkata Knight Riders,Rajasthan Royals,46,wickets,Player_67,164,189,6,4
