Date,Invoice ID,Store City,Product Category,Product Name,Quantity Sold,Unit Price,Discount %,Revenue,Profit
2025-01-10,INV37692,Pune,Home Appliances,Washing Machine,15,3673.37,17.96,45204.49,3670.77
2024-10-31,INV67163,Bangalore,Electronics,Headphones,11,4337.57,18.03,39110.57,7494.15
2025-09-19,INV05120,Kolkata,Grocery,Wheat,12,4695.84,0.02,56338.81,13996.94
2025-09-17,INV96942,Mumbai,Home Appliances,Microwave,12,164.16,15.74,1659.85,215.73
2025-08-29,INV72118,Ahmedabad,Home Appliances,AC,16,1202.22,2.72,18712.31,3249.9
2025-04-29,INV83154,Hyderabad,Electronics,Camera,3,4306.71,20.41,10283.13,1440.66
2024-12-17,INV29047,Delhi,Home Appliances,Mixer,14,4051.57,9.14,51537.59,3583.64
2024-01-17,INV87756,Hyderabad,Home Appliances,AC,7,3069.48,25.0,16114.77,1364.48
2023-12-16,INV95554,Mumbai,Home Appliances,Microwave,8,3789.04,12.75,26447.5,2422.28
2025-05-26,INV87732,Hyderabad,Fashion,Jacket,18,3886.91,28.18,50248.42,11505.15
2025-10-04,INV52223,Kolkata,Electronics,Camera,8,4230.44,22.42,26255.8,4146.8
2024-02-05,INV11253,Ahmedabad,Fashion,T-Shirt,13,747.57,24.07,7379.19,478.98
2025-01-16,INV89286,Pune,Grocery,Rice,12,1502.77,0.42,17957.5,1612.02
2024-08-10,INV73078,Ahmedabad,Electronics,Headphones,1,3049.5,27.79,2202.04,396.84
2025-05-09,INV31709,Hyderabad,Electronics,Laptop,8,2274.78,2.86,17677.77,2194.94
2025-02-02,INV82171,Kolkata,Home Appliances,Washing Machine,3,2976.92,8.24,8194.87,1329.61
2025-11-01,INV24633,Bangalore,Grocery,Sugar,1,3622.56,7.08,3366.08,340.69
2025-04-13,INV40832,Bangalore,Grocery,Wheat,10,2224.72,6.05,20901.24,4789.58
2025-01-23,INV96546,Mumbai,Home Appliances,Washing Machine,4,4542.45,7.48,16810.7,2220.3
2024-12-09,INV79969,Bangalore,Grocery,Milk,13,431.05,8.69,5116.69,420.82
2025-07-05,INV44649,Delhi,Fashion,Jacket,6,2309.85,6.55,12951.33,1726.44
2024-07-22,INV31904,Kolkata,Electronics,Mobile,7,4538.8,8.16,29179.04,5238.75
2025-08-12,INV35992,Mumbai,Home Appliances,Washing Machine,9,1558.67,4.94,13335.05,2091.17
2024-02-26,INV37018,Kolkata,Grocery,Rice,19,1383.59,7.32,24363.91,2038.24
2025-08-12,INV10170,Ahmedabad,Home Appliances,Mixer,17,371.22,7.62,5829.86,579.34
2024-06-11,INV55404,Pune,Fashion,Dress,17,783.03,29.93,9327.38,964.04
2025-07-24,INV80597,Delhi,Fashion,Shoes,5,1758.1,19.03,7117.67,1324.89
2024-08-25,INV55797,Chennai,Home Appliances,Microwave,6,1248.17,20.16,5979.23,1209.74
2025-05-08,INV44984,Bangalore,Grocery,Spices,2,3185.97,16.07,5347.97,363.97
2024-09-24,INV33784,Mumbai,Grocery,Milk,6,3494.27,25.75,15566.97,1793.19
2025-10-04,INV86632,Hyderabad,Electronics,Mobile,3,4057.03,10.46,10897.99,754.53
2024-02-28,INV09274,Mumbai,Grocery,Wheat,8,730.73,10.23,5247.81,381.49
2024-11-09,INV35361,Pune,Electronics,Mobile,3,1181.32,5.25,3357.9,827.5
2025-05-22,INV76080,Hyderabad,Home Appliances,Mixer,2,4981.46,28.96,7077.66,1144.17
2024-10-15,INV16349,Ahmedabad,Electronics,Laptop,9,1778.59,21.78,12520.92,2872.58
2025-09-06,INV28833,Ahmedabad,Fashion,T-Shirt,11,4681.39,23.56,39363.0,7234.83
2025-01-27,INV92849,Kolkata,Electronics,Laptop,3,4869.64,8.52,13364.24,1484.4
2023-12-30,INV38146,Delhi,Fashion,Dress,16,4972.56,5.28,75360.14,4040.44
2025-03-17,INV10414,Kolkata,Grocery,Milk,8,4253.66,19.73,27315.3,4470.47
2025-04-19,INV37112,Hyderabad,Electronics,Headphones,14,2969.86,29.37,29366.57,4327.12
2025-07-07,INV03996,Ahmedabad,Electronics,Headphones,2,1782.89,19.35,2875.8,528.53
2025-05-18,INV26274,Mumbai,Grocery,Milk,16,1439.82,0.73,22868.95,4095.7
2024-12-24,INV80175,Mumbai,Home Appliances,AC,14,4578.58,11.1,56985.01,3025.41
2025-08-19,INV15539,Ahmedabad,Grocery,Rice,14,4834.94,28.91,48120.22,10615.41
2024-07-02,INV29694,Pune,Grocery,Spices,1,1618.76,5.08,1536.53,247.93
2025-10-24,INV07311,Pune,Fashion,Jeans,3,2871.8,2.92,8363.83,1446.95
2025-03-13,INV54379,Kolkata,Electronics,Mobile,10,4393.0,22.22,34168.75,6471.67
2025-04-08,INV42058,Bangalore,Fashion,Jacket,10,4056.34,24.3,30706.49,6860.27
2025-06-20,INV48983,Chennai,Home Appliances,Microwave,7,2532.51,23.95,13481.82,2426.63
2024-06-11,INV17367,Ahmedabad,Fashion,Shoes,19,1723.08,11.27,29048.89,1998.46
2024-03-02,INV89865,Pune,Electronics,Headphones,17,234.87,24.68,3007.37,367.01
2025-04-28,INV41305,Hyderabad,Grocery,Rice,8,3861.47,6.47,28893.06,5044.1
2024-11-14,INV33597,Hyderabad,Fashion,Jacket,15,3512.59,4.15,50502.26,3865.9
2024-01-16,INV00089,Delhi,Home Appliances,Microwave,19,3986.17,8.12,69587.37,9588.74
2024-09-18,INV35163,Pune,Fashion,Jacket,9,3458.07,1.75,30577.98,7125.98
2023-12-05,INV73260,Pune,Fashion,T-Shirt,8,4676.34,19.15,30246.57,4637.99
2024-08-07,INV05534,Ahmedabad,Electronics,Smartwatch,3,1276.27,10.68,3419.89,689.34
2025-06-20,INV56951,Mumbai,Grocery,Milk,5,516.08,9.34,2339.39,575.26
2025-05-06,INV95244,Chennai,Home Appliances,Microwave,16,4044.22,10.39,57984.41,8287.99
2024-01-14,INV76073,Chennai,Electronics,Mobile,10,4748.27,26.6,34852.3,3561.16
2024-11-23,INV09922,Delhi,Fashion,Dress,1,2719.92,20.52,2161.79,374.36
2025-08-30,INV70933,Ahmedabad,Electronics,Mobile,17,4342.63,19.09,59731.57,12554.97
2023-11-29,INV86726,Hyderabad,Fashion,Dress,1,2318.35,16.37,1938.84,462.01
2024-11-30,INV95388,Bangalore,Grocery,Rice,8,4531.49,5.87,34123.93,2179.57
2024-07-09,INV83505,Pune,Fashion,Jeans,19,3110.36,10.1,53128.06,9623.86
2024-06-06,INV03680,Chennai,Fashion,Jeans,2,1340.44,14.88,2281.97,430.33
2025-03-22,INV78319,Delhi,Grocery,Sugar,4,2118.83,29.03,6014.93,959.95
2024-08-22,INV12289,Chennai,Grocery,Sugar,17,3671.66,3.83,60027.6,6002.96
2025-11-01,INV04225,Ahmedabad,Home Appliances,Washing Machine,12,2173.52,22.53,20205.91,4059.54
2025-07-18,INV56193,Mumbai,Fashion,T-Shirt,17,2551.0,24.79,32616.32,3718.58
2024-10-19,INV01500,Bangalore,Electronics,Laptop,4,103.65,27.16,301.99,20.61
2023-11-30,INV62137,Pune,Home Appliances,AC,19,2490.48,2.5,46136.14,3152.98
2024-06-05,INV49469,Hyderabad,Grocery,Milk,4,4733.66,23.44,14496.36,1053.78
2023-11-27,INV43550,Chennai,Fashion,Jeans,7,4979.86,1.68,34273.39,6765.81
2025-05-28,INV10578,Chennai,Electronics,Headphones,18,4844.83,20.64,69207.43,15045.2
2025-10-12,INV08620,Mumbai,Grocery,Spices,8,410.18,24.66,2472.24,472.81
2025-03-30,INV25379,Chennai,Grocery,Spices,6,4933.87,11.23,26278.78,3261.94
2025-09-24,INV50195,Hyderabad,Grocery,Rice,13,3779.22,11.29,43583.1,2907.0
2024-06-02,INV23024,Chennai,Home Appliances,Refrigerator,10,4536.45,3.34,43849.33,6512.72
2024-06-28,INV99664,Chennai,Fashion,Shoes,8,631.75,19.48,4069.48,810.68
2024-12-05,INV59326,Chennai,Home Appliances,Mixer,17,460.31,15.85,6584.96,903.9
2024-11-16,INV26500,Delhi,Home Appliances,Washing Machine,13,263.64,26.73,2511.2,390.59
2024-05-13,INV70715,Bangalore,Home Appliances,Washing Machine,4,2791.58,29.08,7919.15,1224.46
2023-12-03,INV33344,Mumbai,Grocery,Rice,3,4510.73,1.36,13348.15,1417.48
2024-12-29,INV24196,Ahmedabad,Home Appliances,AC,8,889.92,19.41,5737.49,732.41
2025-01-06,INV85221,Hyderabad,Fashion,Shoes,5,4873.25,29.59,17156.28,3253.39
2024-01-15,INV91403,Mumbai,Grocery,Rice,13,3439.42,4.88,42530.49,9874.96
2025-10-20,INV81663,Chennai,Fashion,Jeans,19,3642.31,18.4,56470.37,7547.19
2024-09-18,INV13841,Ahmedabad,Fashion,Jeans,13,865.93,12.34,9867.97,2028.07
2025-09-25,INV57562,Delhi,Home Appliances,Mixer,11,2990.95,11.43,29139.93,7109.64
2025-09-13,INV58691,Bangalore,Grocery,Spices,1,2370.03,12.44,2075.2,217.23
2025-08-17,INV12922,Ahmedabad,Electronics,Camera,17,2695.01,22.5,35506.76,8260.05
2024-08-08,INV62311,Pune,Grocery,Spices,5,3797.55,11.34,16834.54,1653.44
2025-08-09,INV51638,Mumbai,Fashion,T-Shirt,19,1409.92,6.22,25122.24,5668.69
2025-10-08,INV24223,Ahmedabad,Home Appliances,Microwave,8,159.81,14.94,1087.48,157.95
2025-10-30,INV54421,Bangalore,Electronics,Mobile,12,4091.11,29.04,34836.62,2357.8
2025-08-31,INV80994,Bangalore,Grocery,Rice,16,2426.23,12.62,33920.64,7019.32
2024-10-22,INV29051,Kolkata,Fashion,Dress,19,4520.6,18.52,69984.31,17222.62
2023-12-05,INV90326,Delhi,Fashion,Jeans,15,2215.5,27.12,24219.85,2897.93
2024-07-04,INV78476,Kolkata,Grocery,Milk,10,4318.7,28.49,30883.02,2452.57
2025-04-30,INV34573,Ahmedabad,Grocery,Wheat,17,1328.31,13.77,19471.83,4790.2
2025-09-26,INV12148,Chennai,Fashion,Jacket,11,2919.27,10.25,28820.49,4537.86
2024-08-06,INV88887,Pune,Electronics,Headphones,16,3222.33,5.46,48742.25,5806.83
2024-10-19,INV88237,Bangalore,Home Appliances,Refrigerator,18,3029.58,6.72,50867.86,10903.94
2024-03-25,INV66379,Delhi,Home Appliances,Microwave,6,647.15,13.82,3346.28,305.4
2025-02-23,INV96343,Delhi,Grocery,Wheat,13,1641.83,2.77,20752.57,3034.63
2024-05-02,INV05500,Kolkata,Electronics,Headphones,16,352.34,8.31,5168.97,1091.89
2024-08-07,INV22569,Mumbai,Electronics,Smartwatch,15,2706.12,27.72,29339.75,2852.51
2024-02-12,INV45804,Hyderabad,Electronics,Mobile,13,358.59,4.43,4455.16,341.37
2024-01-28,INV91127,Bangalore,Electronics,Headphones,15,200.84,26.02,2228.72,269.29
2024-04-18,INV88886,Bangalore,Electronics,Laptop,5,952.31,16.92,3955.9,862.95
2024-10-29,INV24487,Kolkata,Fashion,Shoes,17,1747.49,14.22,25482.95,3083.97
2023-12-15,INV69980,Mumbai,Grocery,Wheat,15,2941.79,22.1,34374.82,5553.2
2025-07-09,INV60949,Ahmedabad,Grocery,Milk,19,1924.92,10.12,32872.24,7558.3
2025-03-30,INV61954,Ahmedabad,Fashion,Dress,13,1685.22,28.01,15771.47,812.34
2025-05-26,INV13384,Chennai,Fashion,Shoes,11,485.04,24.18,4045.33,247.29
2025-03-06,INV36362,Mumbai,Electronics,Headphones,19,140.3,20.91,2108.3,525.92
2023-11-08,INV59863,Kolkata,Fashion,Shoes,11,4334.26,24.51,35991.26,3656.01
